 item_id,image_url,inpainting_image_url,item_org_id,xmin,ymin,xmax,ymax,ori_content,tr_content
1513,https://d2reotjpatzlok.cloudfront.net/qr-place/item/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,33251,103,348,260,643,"탕류","Soups"
1513,https://d2reotjpatzlok.cloudfront.net/qr-place/item/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,33252,285,358,721,495,"장어 김치","Eel and Kimchi Jjigae"
1513,https://d2reotjpatzlok.cloudfront.net/qr-place/item/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,33253,770,353,1182,486,"장어 된장","Eel and Soybean Paste Jjigae"
1513,https://d2reotjpatzlok.cloudfront.net/qr-place/item/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,33270,1540,692,1732,819,"소주","Soju"
1513,https://d2reotjpatzlok.cloudfront.net/qr-place/item/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,33255,1633,368,1717,466,"대","Large"
1513,https://d2reotjpatzlok.cloudfront.net/qr-place/item/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,33269,1383,687,1516,1001,"주류","Alcoholic Beverages"
1513,https://d2reotjpatzlok.cloudfront.net/qr-place/item/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,33271,1540,819,1746,947,"맥주","Beer"
1513,https://d2reotjpatzlok.cloudfront.net/qr-place/item/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,33272,1530,932,1805,1050,"막걸리","Makgeolli (Unrefined Rice Wine)"
1513,https://d2reotjpatzlok.cloudfront.net/qr-place/item/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,33273,1540,1060,1781,1197,"복분자","Korean Black Raspberry"
1513,https://d2reotjpatzlok.cloudfront.net/qr-place/item/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,33254,1231,358,1609,486,"장어 지리","Eel White Soup"
1513,https://d2reotjpatzlok.cloudfront.net/qr-place/item/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,33256,1633,466,1717,554,"중","Medium"
1513,https://d2reotjpatzlok.cloudfront.net/qr-place/item/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20220908_434_1_L7SVYEQVAEVEIDJOSS0T.jpg,33257,280,618,603,765,"복김치","Puffer Fish and Kimchi Jjigae"
